Date,Open,High,Low,Close,Adj Close,Volume
2000-11-13,10681.209961,10799.370117,10565.790039,10629.870117,10629.870117,586810000
2000-11-20,10624.179688,10624.280273,10371.639648,10470.230469,10470.230469,687200000
2000-11-27,10479.330078,10646.169922,10292.389648,10373.540039,10373.540039,1337980000
2000-12-04,10377.330078,10917.299805,10319.309570,10712.910156,10712.910156,1390070000
2000-12-11,10719.360352,10915.400391,10434.589844,10434.959961,10434.959961,1406870000
2000-12-18,10433.339844,10784.580078,10299.209961,10635.559570,10635.559570,1360150000
2000-12-25,10638.209961,10917.679688,10597.639648,10787.990234,10787.990234,743760000
2001-01-01,10790.919922,11028.000000,10581.089844,10662.009766,10662.009766,1329470000
2001-01-08,10658.730469,10700.849609,10468.040039,10525.379883,10525.379883,1270380000
2001-01-15,10525.780273,10737.240234,10486.639648,10587.589844,10587.589844,1208550000
2001-01-22,10581.900391,10778.719727,10509.919922,10659.980469,10659.980469,1269120000
2001-01-29,10657.129883,11022.780273,10612.530273,10864.099609,10864.099609,1177060000
2001-02-05,10860.440430,11035.139648,10754.959961,10781.450195,10781.450195,1041610000
2001-02-12,10779.419922,11012.900391,10722.150391,10799.820313,10799.820313,985720000
2001-02-19,10800.230469,10903.169922,10294.009766,10441.900391,10441.900391,972810000
2001-02-26,10447.589844,10698.429688,10302.059570,10466.309570,10466.309570,1250210000
2001-03-05,10468.929688,10859.500000,10468.530273,10644.620117,10644.620117,1125150000
2001-03-12,10638.519531,10638.629883,9814.349609,9823.410156,9823.410156,1480880000
2001-03-19,9820.049805,10019.940430,9106.540039,9504.780273,9504.780273,1615010000
2001-03-26,9509.250000,9960.879883,9509.250000,9878.780273,9878.780273,1351280000
2001-04-02,9877.160156,9992.530273,9375.719727,9791.089844,9791.089844,1363810000
2001-04-09,9793.580078,10173.790039,9775.790039,10126.940430,10126.940430,1006150000
2001-04-16,10118.160156,10706.469727,10046.519531,10579.849609,10579.849609,1549270000
2001-04-23,10571.000000,10810.049805,10444.059570,10810.049805,10810.049805,1115450000
2001-04-30,10814.410156,10958.139648,10673.219727,10951.240234,10951.240234,1050100000
2001-05-07,10952.349609,10995.280273,10774.129883,10821.309570,10821.309570,960410000
2001-05-14,10819.549805,11328.610352,10800.129883,11301.740234,11301.740234,1074580000
2001-05-21,11299.139648,11350.049805,10993.790039,11005.370117,11005.370117,1021110000
2001-05-28,11004.660156,11066.009766,10835.490234,10990.410156,10990.410156,814580000
2001-06-04,10991.769531,11196.530273,10938.080078,10977.000000,10977.000000,1002750000
2001-06-11,10974.790039,11004.330078,10566.549805,10623.639648,10623.639648,1281920000
2001-06-18,10622.500000,10759.639648,10563.660156,10604.589844,10604.589844,1157570000
2001-06-25,10607.879883,10646.450195,10394.719727,10502.400391,10502.400391,1276000000
2001-07-02,10504.950195,10638.870117,10220.139648,10252.679688,10252.679688,731060000
2001-07-09,10253.620117,10549.759766,10120.889648,10539.059570,10539.059570,1227210000
2001-07-16,10537.980469,10679.120117,10438.660156,10576.650391,10576.650391,1232700000
2001-07-23,10576.919922,10595.400391,10203.690430,10416.669922,10416.669922,1034590000
2001-07-30,10418.679688,10609.650391,10361.450195,10512.780273,10512.780273,952280000
2001-08-06,10504.129883,10504.129883,10197.320313,10416.250000,10416.250000,841720000
2001-08-13,10411.900391,10478.809570,10180.929688,10240.780273,10240.780273,873230000
2001-08-20,10239.330078,10440.679688,10134.500000,10423.169922,10423.169922,908990000
2001-08-27,10422.759766,10441.370117,9869.139648,9949.750000,9949.750000,887500000
2001-09-03,9946.980469,10182.379883,9558.389648,9605.849609,9605.849609,1168170000
2001-09-10,9603.360352,9671.799805,9493.549805,9605.509766,9605.509766,280040000
2001-09-17,9580.320313,9580.320313,8062.339844,8235.809570,8235.809570,2459290000
2001-09-24,8242.320313,8856.549805,8242.320313,8847.559570,8847.559570,1647520000
2001-10-01,8845.969727,9187.370117,8732.139648,9119.769531,9119.769531,1399070000
2001-10-08,9115.750000,9432.040039,9000.139648,9344.160156,9344.160156,1247620000
2001-10-15,9340.839844,9489.330078,9080.809570,9204.110352,9204.110352,1214060000
2001-10-22,9203.910156,9598.169922,9167.450195,9545.169922,9545.169922,1166740000
2001-10-29,9543.370117,9543.370117,9014.459961,9323.540039,9323.540039,1174000000
2001-11-05,9326.589844,9721.750000,9326.169922,9608.000000,9608.000000,1135110000
2001-11-12,9606.129883,9908.790039,9408.580078,9866.990234,9866.990234,1300000000
2001-11-19,9870.450195,9976.730469,9796.410156,9959.709961,9959.709961,659330000
2001-11-26,9961.580078,9992.790039,9691.389648,9851.559570,9851.559570,1148660000
2001-12-03,9848.929688,10169.440430,9703.900391,10049.459961,10049.459961,1183740000
2001-12-10,10047.040039,10075.610352,9736.419922,9811.150391,9811.150391,1194950000
2001-12-17,9809.419922,10088.339844,9798.839844,10035.339844,10035.339844,1318320000
2001-12-24,10036.589844,10184.450195,10034.440430,10136.990234,10136.990234,458800000
